SubsetID,UniqueID,ClassName,SourcePath,TargetPath
000-074,a4ecfbeef9c446c88d69fef8f5c2ff2b,apple,/home/add_disk_e/objaverse/hf-objaverse-v1/glbs/000-074/a4ecfbeef9c446c88d69fef8f5c2ff2b.glb,/home/fudan248/zhangjinyu/code_repo/PoinTr/data/objaverse/raw_data/apple/a4ecfbeef9c446c88d69fef8f5c2ff2b.glb
000-060,b4a8d2cc8187486892e6016d2cb9b600,apple,/home/add_disk_e/objaverse/hf-objaverse-v1/glbs/000-060/b4a8d2cc8187486892e6016d2cb9b600.glb,/home/fudan248/zhangjinyu/code_repo/PoinTr/data/objaverse/raw_data/apple/b4a8d2cc8187486892e6016d2cb9b600.glb
000-106,0ec03fdacb62498c83cf4f644ef1a253,apple,/home/add_disk_e/objaverse/hf-objaverse-v1/glbs/000-106/0ec03fdacb62498c83cf4f644ef1a253.glb,/home/fudan248/zhangjinyu/code_repo/PoinTr/data/objaverse/raw_data/apple/0ec03fdacb62498c83cf4f644ef1a253.glb
000-037,0bfc697c50f447668b6f831a16f1f7a0,apple,/home/add_disk_e/objaverse/hf-objaverse-v1/glbs/000-037/0bfc697c50f447668b6f831a16f1f7a0.glb,/home/fudan248/zhangjinyu/code_repo/PoinTr/data/objaverse/raw_data/apple/0bfc697c50f447668b6f831a16f1f7a0.glb
000-039,dd324f84d894471da817ef20e3414c27,apple,/home/add_disk_e/objaverse/hf-objaverse-v1/glbs/000-039/dd324f84d894471da817ef20e3414c27.glb,/home/fudan248/zhangjinyu/code_repo/PoinTr/data/objaverse/raw_data/apple/dd324f84d894471da817ef20e3414c27.glb
000-099,4786c095259146b393dcf903ca6c519e,apple,/home/add_disk_e/objaverse/hf-objaverse-v1/glbs/000-099/4786c095259146b393dcf903ca6c519e.glb,/home/fudan248/zhangjinyu/code_repo/PoinTr/data/objaverse/raw_data/apple/4786c095259146b393dcf903ca6c519e.glb
000-035,63e2323f49db4793bd087e67b20ac350,apple,/home/add_disk_e/objaverse/hf-objaverse-v1/glbs/000-035/63e2323f49db4793bd087e67b20ac350.glb,/home/fudan248/zhangjinyu/code_repo/PoinTr/data/objaverse/raw_data/apple/63e2323f49db4793bd087e67b20ac350.glb
000-126,198adfef07ac45c89ec51529b1e01c22,apple,/home/add_disk_e/objaverse/hf-objaverse-v1/glbs/000-126/198adfef07ac45c89ec51529b1e01c22.glb,/home/fudan248/zhangjinyu/code_repo/PoinTr/data/objaverse/raw_data/apple/198adfef07ac45c89ec51529b1e01c22.glb
000-124,74adf6836c3f4d93a127d964f077db4d,apple,/home/add_disk_e/objaverse/hf-objaverse-v1/glbs/000-124/74adf6836c3f4d93a127d964f077db4d.glb,/home/fudan248/zhangjinyu/code_repo/PoinTr/data/objaverse/raw_data/apple/74adf6836c3f4d93a127d964f077db4d.glb
000-091,463ead51d6254a12bfd623f840e5ca21,apple,/home/add_disk_e/objaverse/hf-objaverse-v1/glbs/000-091/463ead51d6254a12bfd623f840e5ca21.glb,/home/fudan248/zhangjinyu/code_repo/PoinTr/data/objaverse/raw_data/apple/463ead51d6254a12bfd623f840e5ca21.glb
000-112,1a970e6456844320b3247779f68d5f2a,apple,/home/add_disk_e/objaverse/hf-objaverse-v1/glbs/000-112/1a970e6456844320b3247779f68d5f2a.glb,/home/fudan248/zhangjinyu/code_repo/PoinTr/data/objaverse/raw_data/apple/1a970e6456844320b3247779f68d5f2a.glb
000-008,8aa0a3ac43364e12a14769e8555662de,apple,/home/add_disk_e/objaverse/hf-objaverse-v1/glbs/000-008/8aa0a3ac43364e12a14769e8555662de.glb,/home/fudan248/zhangjinyu/code_repo/PoinTr/data/objaverse/raw_data/apple/8aa0a3ac43364e12a14769e8555662de.glb
