SubsetID,UniqueID,ClassName,SourcePath,TargetPath
000-135,67dfbea6a58346809116be2fefb50680,Christmas_tree,/home/add_disk_e/objaverse/hf-objaverse-v1/glbs/000-135/67dfbea6a58346809116be2fefb50680.glb,/home/fudan248/zhangjinyu/code_repo/PoinTr/data/objaverse/raw_data2/Christmas_tree/67dfbea6a58346809116be2fefb50680.glb
000-046,7ba9f879b3ab41f6a5fb6c1c7728859a,Christmas_tree,/home/add_disk_e/objaverse/hf-objaverse-v1/glbs/000-046/7ba9f879b3ab41f6a5fb6c1c7728859a.glb,/home/fudan248/zhangjinyu/code_repo/PoinTr/data/objaverse/raw_data2/Christmas_tree/7ba9f879b3ab41f6a5fb6c1c7728859a.glb
000-137,0b1b92d6d5584284b59aaab57b1009a1,Christmas_tree,/home/add_disk_e/objaverse/hf-objaverse-v1/glbs/000-137/0b1b92d6d5584284b59aaab57b1009a1.glb,/home/fudan248/zhangjinyu/code_repo/PoinTr/data/objaverse/raw_data2/Christmas_tree/0b1b92d6d5584284b59aaab57b1009a1.glb
000-124,c8d2ae976cec4fcabe1837f1caa40b8e,Christmas_tree,/home/add_disk_e/objaverse/hf-objaverse-v1/glbs/000-124/c8d2ae976cec4fcabe1837f1caa40b8e.glb,/home/fudan248/zhangjinyu/code_repo/PoinTr/data/objaverse/raw_data2/Christmas_tree/c8d2ae976cec4fcabe1837f1caa40b8e.glb
000-028,e6ecefc487554fe3ae689095d425a6d0,Christmas_tree,/home/add_disk_e/objaverse/hf-objaverse-v1/glbs/000-028/e6ecefc487554fe3ae689095d425a6d0.glb,/home/fudan248/zhangjinyu/code_repo/PoinTr/data/objaverse/raw_data2/Christmas_tree/e6ecefc487554fe3ae689095d425a6d0.glb
000-138,082524a9ea054571bf25c453b0fe6993,Christmas_tree,/home/add_disk_e/objaverse/hf-objaverse-v1/glbs/000-138/082524a9ea054571bf25c453b0fe6993.glb,/home/fudan248/zhangjinyu/code_repo/PoinTr/data/objaverse/raw_data2/Christmas_tree/082524a9ea054571bf25c453b0fe6993.glb
000-003,f1c1e890de674fccabcad59e16e8e4d5,Christmas_tree,/home/add_disk_e/objaverse/hf-objaverse-v1/glbs/000-003/f1c1e890de674fccabcad59e16e8e4d5.glb,/home/fudan248/zhangjinyu/code_repo/PoinTr/data/objaverse/raw_data2/Christmas_tree/f1c1e890de674fccabcad59e16e8e4d5.glb
000-022,41fa3210e50944eaa489c148e5e2ccc7,Christmas_tree,/home/add_disk_e/objaverse/hf-objaverse-v1/glbs/000-022/41fa3210e50944eaa489c148e5e2ccc7.glb,/home/fudan248/zhangjinyu/code_repo/PoinTr/data/objaverse/raw_data2/Christmas_tree/41fa3210e50944eaa489c148e5e2ccc7.glb
000-028,feb96b6b2b534c58bbdf9e081f2f4e46,Christmas_tree,/home/add_disk_e/objaverse/hf-objaverse-v1/glbs/000-028/feb96b6b2b534c58bbdf9e081f2f4e46.glb,/home/fudan248/zhangjinyu/code_repo/PoinTr/data/objaverse/raw_data2/Christmas_tree/feb96b6b2b534c58bbdf9e081f2f4e46.glb
000-068,5b1878a78d2849a494a3e8c95238d727,Christmas_tree,/home/add_disk_e/objaverse/hf-objaverse-v1/glbs/000-068/5b1878a78d2849a494a3e8c95238d727.glb,/home/fudan248/zhangjinyu/code_repo/PoinTr/data/objaverse/raw_data2/Christmas_tree/5b1878a78d2849a494a3e8c95238d727.glb
